"Reference","Qty","Value","Footprint","Mouser Part Number"
"A1,A2,A3","3","Pololu_Breakout_A4988","Module:Pololu_Breakout-16_15.2x20.3mm",""
"C8","1","2.2u","Capacitor_SMD:C_0805_2012Metric","80-C0805C225K4R3123"
"C10,C11,C12,C13,C14,C15,C24,C25,C26,C27","10","4.7n","Capacitor_SMD:C_0805_2012Metric","80-C0805C472J3GAUTO"
"C16,C21,C22,C23,C29,C30,C31,C32","8","3.3n","Capacitor_SMD:C_0805_2012Metric","80-C0805C332KCR"
"C17,C18,C19,C20,C28,C34,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C122,C123,C124,C125,C130,C131,C132,C134","26","100n","Capacitor_SMD:C_0805_2012Metric","80-C0805S104K1RACAUT"
"C33","1","47u","Capacitor_SMD:C_0805_2012Metric","80-C0805C476M9P7800"
"C35,C77,C78,C81,C82,C84","6","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","710-860020472003 "
"C79,C80,C83,C85","4","100u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","80-ESW107M016AE3EA"
"H1","1","MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad_Via",""
"IC1","1","REF102AU_2K5","REF102AU_2K5:SOIC127P600X175-8N","595-REF102AU/2K5"
"IC4","1","DAC8814IBDBT","DAC8814IBDBT:SOP65P780X200-28N","595-DAC8814IBDBT"
"J1,J2,J3","3","5745782-6","57457826:57457826","571-5745782-6"
"J4,J5,J6","3","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"JP12,JP29,JP30,JP31,JP32,JP33","6","Jumper","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm",""
"R19","1","1k","Resistor_SMD:R_0805_2012Metric","755-ESR10EZPJ102 "
"R20,R22,R23,R25,R26,R27,R28,R29,R31,R32,R33,R34,R35,R36,R50,R51,R52,R53,R54,R55,R56,R57,R58","23","3k","Resistor_SMD:R_0805_2012Metric","667-ERA-6AED302V"
"R21,R24,R37,R38","4","220","Resistor_SMD:R_0805_2012Metric","279-CRGH0805F220R"
"R30","1","1M2","Resistor_SMD:R_0805_2012Metric","755-SDR10EZPF1204"
"R39,R64","2","10k","Resistor_SMD:R_0805_2012Metric","755-ESR10EZPD1002"
"R40,R41,R42,R43","4","1.5k","Resistor_SMD:R_0805_2012Metric","755-ESR10EZPF1501"
"R59,R61,R62,R63","4","470","Resistor_SMD:R_0805_2012Metric","667-ERA-6AEB471V"
"R60","1","100","Resistor_SMD:R_0805_2012Metric","708-RNCA0805BTE100R"
"U1","1","Teensy4.0","Teensy40:Teensy40",""
"U2,U3,U4,U10","4","TL072","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias","511-TL072BIDT"
"U5,U6","2","TL074","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","511-TL074IYDT"
"U7,U11,U12","3","ADG419BR","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","584-ADG419BRZ-R"
"U8","1","LTC2326CMS-16-PBF","LTC2326-16:MSOP-16_MS_LIT","584-LTC2326CMS-16PBF"
"U9","1","LT1469CS8-TRPBF","LT1469:SO-8_S_LIT","584-LT1469CS8#TRPBF"
