Designator,Footprint,Quantity,Value,LCSC Part #
"A1, A2, A3",Pololu_Breakout-16_15.2x20.3mm,3,Pololu_Breakout_A4988,
"C10, C11, C12, C13, C14, C15, C24, C25, C26, C27",0805,10,4.7n,
"C122, C123, C124, C125, C130, C131, C132, C134",0805,8,100n,
"C16, C21, C22, C23, C29, C30, C31, C32",0805,8,3.3n,
"C17, C18, C19, C20, C39, C40, C41, C42, C43, C44, C45, C46, C47",0805,13,100n,C14663
"C28, C34, C36, C37, C38",0805,5,100n,
C33,0805,1,47u,
"C35, C77, C78, C81, C82, C84",CP_Radial_D5.0mm_P2.00mm,6,10u,
"C79, C80, C83, C85",CP_Radial_D6.3mm_P2.50mm,4,100u,
C8,0805,1,2.2u,
IC1,SOIC127P600X175-8N,1,REF102AU_2K5,
IC4,SOP65P780X200-28N,1,DAC8814IBDBT,
"J1, J2, J3",57457826,3,5745782-6,
"J4, J5, J6",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Pin,
"JP12, JP29, JP30, JP31, JP32, JP33",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,6,Jumper,
R19,0805,1,1k,
"R20, R22, R23, R25, R26, R27, R28, R29, R31, R32, R33, R34, R35, R36, R50, R51, R52, R53, R54, R55, R56, R57, R58",0805,23,3k,
"R21, R24, R37, R38",0805,4,220,
R30,0805,1,1M2,C22107
"R39, R64",0805,2,10k,
"R40, R41, R42, R43",0805,4,1.5k,
"R59, R61, R62, R63",0805,4,470,
R60,0805,1,100,
U1,Teensy40,1,Teensy4.0,
"U10, U2, U3, U4",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,4,TL072,
"U11, U12, U7",SOIC-8_3.9x4.9mm_P1.27mm,3,ADG419BR,
"U5, U6",SOIC-14_3.9x8.7mm_P1.27mm,2,TL074,
U8,MSOP-16_MS_LIT,1,LTC2326CMS-16-PBF,
U9,SO-8_S_LIT,1,LT1469CS8-TRPBF,
