Designator,Mid X,Mid Y,Rotation,Layer
A1,185.685,-129.725,0.0,top
A2,164.977,-120.014,0.0,top
A3,164.977,-142.824,0.0,top
C10,138.627,-95.25,180.0,top
C11,140.077,-82.75,180.0,top
C12,144.627,-87.75,90.0,top
C122,199.0,-42.55,90.0,top
C123,199.0,-49.45,270.0,top
C124,196.0,-42.55,90.0,top
C125,196.0,-49.55,270.0,top
C13,144.627,-63.25,90.0,top
C130,213.45,-96.8,0.0,top
C131,213.4,-94.2,180.0,top
C132,213.4,-91.6,180.0,top
C134,213.4,-99.4,0.0,top
C14,138.627,-70.75,180.0,top
C15,140.127,-58.75,180.0,top
C16,164.455,-78.361,270.0,top
C17,135.127,-63.75,270.0,top
C18,145.127,-67.75,180.0,top
C19,145.127,-92.25,180.0,top
C20,135.127,-86.3,90.0,top
C21,179.0,-70.281,90.0,top
C22,179.0,-78.331,270.0,top
C23,164.455,-70.361,90.0,top
C24,157.205,-80.311,180.0,top
C25,171.55,-67.281,180.0,top
C26,171.55,-80.281,180.0,top
C27,157.205,-67.311,180.0,top
C28,175.627,-119.774,90.0,top
C29,173.395,-94.405,0.0,top
C30,180.25,-103.5,0.0,top
C31,173.595,-104.655,0.0,top
C32,185.3,-103.5,0.0,top
C33,192.345,-93.655,180.0,top
C34,188.595,-93.655,180.0,top
C35,182.595,-88.905,0.0,top
C36,182.5501,-93.155,0.0,top
C37,175.627,-142.774,90.0,top
C38,196.335,-129.592,90.0,top
C39,209.7075,-78.0625,0.0,top
C40,167.9125,-74.361,270.0,top
C41,179.0,-74.281,90.0,top
C42,153.4125,-74.361,270.0,top
C43,164.455,-74.361,90.0,top
C44,195.555,-60.775,180.0,top
C45,192.105,-50.025,0.0,top
C46,164.5,-58.05,270.0,top
C47,153.75,-61.25,90.0,top
C77,204.0,-42.4551,90.0,top
C78,204.0,-49.5,270.0,top
C79,152.623,-127.6834,90.0,top
C8,187.405,-50.025,0.0,top
C80,185.8,-144.375,0.0,top
C81,204.0,-56.4551,270.0,top
C82,204.0,-63.4551,270.0,top
C83,152.623,-150.524,90.0,top
C84,182.1,-55.7551,90.0,top
C85,182.1,-49.15,270.0,top
IC1,188.355,-55.525,90.0,top
IC4,187.75,-73.991,270.0,top
J1,215.627,-55.0705,90.0,top
J2,128.5,-82.5785,270.0,top
J3,128.5,-132.0785,270.0,top
J4,157.03,-88.135,270.0,top
J5,189.8,-99.005,180.0,top
J6,170.0,-59.795,0.0,top
R19,191.105,-47.525,0.0,top
R20,138.627,-98.75,180.0,top
R21,135.127,-94.25,90.0,top
R22,145.25,-95.317,180.0,top
R23,145.25,-98.741,180.0,top
R24,135.127,-81.75,90.0,top
R25,140.077,-79.25,180.0,top
R26,146.75,-84.067,180.0,top
R27,148.127,-87.75,90.0,top
R28,145.0,-79.25,180.0,top
R29,145.0,-74.317,180.0,top
R30,209.85,-81.9125,0.0,top
R31,145.127,-70.817,180.0,top
R32,144.627,-55.75,180.0,top
R33,146.627,-59.75,180.0,top
R34,147.627,-63.25,90.0,top
R35,138.627,-74.25,180.0,top
R36,140.127,-55.75,180.0,top
R37,135.127,-73.25,90.0,top
R38,135.127,-59.317,270.0,top
R39,188.5,-67.75,0.0,top
R40,161.18,-64.361,180.0,top
R41,175.5875,-80.281,180.0,top
R42,175.5,-64.281,180.0,top
R43,161.205,-80.311,180.0,top
R50,161.18,-83.061,180.0,top
R51,157.205,-83.061,180.0,top
R52,175.5,-67.281,180.0,top
R53,171.5,-64.281,180.0,top
R54,175.5,-83.281,180.0,top
R55,171.5,-83.281,180.0,top
R56,161.18,-67.331,180.0,top
R57,157.205,-64.361,180.0,top
R58,164.5,-62.25,90.0,top
R59,164.5,-88.75,270.0,top
R60,195.8789,-88.1537,180.0,top
R61,169.345,-94.405,0.0,top
R62,164.5,-99.0,270.0,top
R63,169.345,-104.655,0.0,top
R64,195.8789,-90.4037,180.0,top
U1,138.23,-43.92,0.0,top
U10,157.025,-93.385,270.0,top
U11,174.12,-90.02,270.0,top
U12,174.095,-100.155,270.0,top
U2,194.605,-55.525,180.0,top
U3,139.627,-89.4,0.0,top
U4,139.627,-65.1,0.0,top
U5,158.955,-73.771,270.0,top
U6,173.475,-73.741,270.0,top
U7,159.25,-59.5,90.0,top
U8,189.3789,-89.9037,270.0,top
U9,183.595,-99.155,0.0,top
